trip_id,source_area_type,destination_area_type,distance_km,duration_min,traffic_level,time_of_day,day_type,weather,vehicle_type,peak_hour,transfer_count,walking_distance_m,route_type,estimated_fare
SCV20000001,college_area,commercial,4.54,29.20,medium,morning,weekday,rainy,bus,yes,0,286,direct,15.89
SCV20000002,residential,office_area,8.09,60.20,medium,morning,weekday,rainy,bus,yes,1,1357,multimodal,29.85
SCV20000003,commercial,shopping_area,7.81,26.10,low,night,weekday,cloudy,rapido,no,0,98,direct,113.38
SCV20000004,metro_station,office_area,6.18,31.40,medium,afternoon,weekday,clear,auto,yes,0,64,direct,172.71
SCV20000005,commercial,metro_station,6.01,25.60,low,afternoon,weekend,clear,ola,no,0,94,direct,213.25
SCV20000006,residential,commercial,7.56,32.40,medium,evening,weekday,clear,ola,yes,0,80,direct,334.35
SCV20000007,metro_station,shopping_area,8.75,46.60,medium,evening,weekend,clear,metro,yes,0,113,direct,29.54
SCV20000008,commercial,metro_station,4.35,19.10,medium,morning,weekday,clear,rapido,yes,0,172,direct,79.41
SCV20000009,metro_station,commercial,8.29,68.70,high,evening,weekday,clear,metro,yes,0,80,direct,34.42
SCV20000010,airport,residential,32.38,150.00,high,evening,weekday,clear,rapido,yes,0,55,direct,676.03
SCV20000011,commercial,office_area,7.77,75.60,medium,morning,weekday,rainy,rapido,yes,3,2033,multimodal,214.84
SCV20000012,commercial,residential,5.53,13.00,low,night,weekday,clear,auto,no,0,172,direct,108.06
SCV20000013,residential,metro_station,5.56,41.80,medium,evening,weekday,clear,uber,yes,0,64,direct,400.81
SCV20000014,commercial,shopping_area,3.25,25.20,low,night,weekday,clear,metro,no,0,334,direct,10.23
SCV20000015,residential,office_area,9.34,34.50,medium,morning,weekday,clear,auto,yes,0,79,direct,217.06
SCV20000016,college_area,metro_station,7.19,32.00,medium,morning,weekday,cloudy,uber,yes,0,62,direct,462.08
SCV20000017,metro_station,commercial,3.48,29.50,medium,afternoon,weekday,rainy,ola,no,0,210,direct,220.55
SCV20000018,college_area,metro_station,5.97,37.30,medium,evening,weekday,rainy,metro,no,0,172,direct,10.00
SCV20000019,metro_station,office_area,5.39,29.30,medium,afternoon,weekday,clear,uber,yes,0,21,direct,377.30
SCV20000020,metro_station,residential,4.40,65.00,medium,afternoon,weekday,cloudy,bus,yes,2,1669,multimodal,25.39
SCV20000021,metro_station,commercial,6.25,65.40,medium,afternoon,weekend,clear,metro,yes,1,1202,multimodal,10.00
SCV20000022,metro_station,office_area,5.61,49.10,high,morning,weekday,rainy,auto,yes,0,75,direct,273.68
SCV20000023,college_area,commercial,8.17,68.40,high,evening,weekend,rainy,ola,yes,0,181,direct,631.70
SCV20000024,commercial,office_area,12.76,136.80,high,evening,weekday,rainy,metro,yes,2,1706,multimodal,43.58
SCV20000025,residential,office_area,13.56,77.70,medium,evening,weekday,clear,uber,yes,0,96,direct,757.03
SCV20000026,commercial,shopping_area,8.87,60.50,medium,morning,weekend,cloudy,bus,yes,1,1086,multimodal,37.09
SCV20000027,commercial,shopping_area,8.01,78.00,medium,morning,weekday,rainy,bus,yes,3,1812,multimodal,42.33
SCV20000028,metro_station,commercial,4.77,23.80,medium,morning,weekday,clear,ola,yes,0,151,direct,248.63
SCV20000029,commercial,office_area,10.92,104.50,high,evening,weekday,clear,bus,yes,1,959,multimodal,38.60
SCV20000030,commercial,office_area,5.65,29.00,medium,evening,weekday,clear,uber,yes,0,41,direct,403.19
